Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9314,1914 August 21,12:34:27,17,-1056,124,T,0.7655,1.0328,54.5N,27.1E,40,227,170,02m14s,1914-08-21 12:34:27,1914-08-21T12:34:27.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",148.822,0.177656,148.779,0.00347547
9315,1915 February 14,04:33:20,17,-1050,129,A,-0.2024,0.9789,24.0S,120.7E,78,333,77,02m04s,1915-02-14 04:33:20,1915-02-14T04:33:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",326.035,-0.9876,325.592,-0.00739684
9316,1915 August 10,22:52:25,18,-1044,134,A,0.0124,0.9853,16.4N,161.4W,89,200,52,01m33s,1915-08-10 22:52:25,1915-08-10T22:52:25.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",138.549,-0.769753,138.374,0.0046089
9317,1916 February 3,16:00:21,18,-1038,139,T,0.4987,1.028,11.1N,67.7W,60,158,108,02m36s,1916-02-03 16:00:21,1916-02-03T16:00:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",313.777,-0.0346541,314.673,-0.00853789
9318,1916 July 30,02:06:10,19,-1032,144,A,-0.7709,0.9447,29.0S,132.4E,39,22,313,06m24s,1916-07-30 02:06:10,1916-07-30T02:06:10.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",128.254,-1.29541,127.72,0.00632897
9319,1916 December 24,20:46:22,19,-1027,111,P,-1.5321,0.0114,65.7S,32.1E,0,195,,,1916-12-24 20:46:22,1916-12-24T20:46:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",273.618,-1.93486,273.902,-0.0118009
9320,1917 January 23,07:28:31,19,-1026,149,P,1.1508,0.7254,63.2N,25.6E,0,138,,,1917-01-23 07:28:31,1917-01-23T07:28:31.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",304.223,0.242543,303.901,-0.0106605
9321,1917 June 19,13:16:21,20,-1021,116,P,1.2857,0.4729,66.2N,150.1E,0,350,,,1917-06-19 13:16:21,1917-06-19T13:16:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",88.5738,0.843722,88.7984,0.0098461
9322,1917 July 19,02:42:42,20,-1020,154,Pb,-1.5101,0.0863,63.7S,101.8E,0,36,,,1917-07-19 02:42:42,1917-07-19T02:42:42.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",117.489,-1.97859,116.989,0.00729789
9323,1917 December 14,09:27:20,20,-1015,121,A,-0.9157,0.9791,88.0S,124.8E,23,271,189,01m17s,1917-12-14 09:27:20,1917-12-14T09:27:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",263.419,-1.74537,262.979,-0.0129788
9324,1918 June 8,22:07:43,20,-1009,126,T,0.4658,1.0292,50.9N,152.0W,62,180,112,02m23s,1918-06-08 22:07:43,1918-06-08T22:07:43.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",78.1754,-0.401603,78.4007,0.00845565
9325,1918 December 3,15:22:02,21,-1003,131,A,-0.2387,0.9383,36.1S,53.7W,76,3,236,07m06s,1918-12-03 15:22:02,1918-12-03T15:22:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",251.33,-1.00247,251.79,-0.012428
9326,1919 May 29,13:08:55,21,-997,136,T,-0.2955,1.0719,4.4N,16.7W,73,356,244,06m51s,1919-05-29 13:08:55,1919-05-29T13:08:55.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",67.7649,-0.661843,68.2205,0.00931677
